序号,签诗名称,原签诗,核心解读,深度解析,运势维度解释,有利时辰,方位指引
1,三圣杯·郭子仪全禄,"福如东海寿南山，君尔何故苦中间？
富贵荣华天注定，太白贵人守身边。",✅ 天赐鸿福，贵人扶持。困境短暂，顺其自然。,"郭子仪宽厚得人心，晚年福寿双全（《资治通鉴》）。","事业：贵人提携，合作可成
姻缘：适配包容型伴侣，忌急躁定论
健康：注意脾胃调理，多食山药、小米",辰时、亥时,东南（文昌位）
2,三笑杯·四皓八仙,"风恬浪静好行舟，高歌鼓舞乐悠悠；
四皓八仙齐畅饮，十八学士登瀛洲。",➖ 表面顺遂，暗藏虚浮。戒骄躁，务实长远。,"商山四皓隐士、唐太宗十八学士团队协作（《史记》《新唐书》）。","事业：合作吉，独行凶
姻缘：慎防酒色桃花，宜坦诚沟通
健康：忌过量饮酒，养肝为先",未时,正北（水位）
3,三阴杯·武则天坐天,"鬼门关上撞无常，破船更遇浪头风；
久远冤家相罗网，运交吉时也遭殃。",❌ 小人作祟，运势低迷。以退为进，莫强求。,"武则天诛杀异己，酷吏来俊臣反噬（《旧唐书》）。","事业：避争议，守旧业
姻缘：勿纠缠旧怨，冷处理矛盾
健康：防意外外伤，忌夜行",午时,正西（金位，配白玉）
4,圣圣笑·孔子在陈,"哑子得梦事难言，瞎子穿针更不然；
九曲明珠穿得过，在陈绝粮全因贤。",➖ 困境因才招忌，低调隐忍，贵人暗助。,"孔子周游列国绝粮七日，九曲明珠破局（《论语·卫灵公》）。","事业：忌锋芒毕露，多请教前辈
姻缘：适配智慧型伴侣，忌炫耀才华
健康：防肠胃不适，饮食清淡",申时,东北（艮位）
5,圣圣阴·王安石小登科,"宝镜团圆似月明，琴瑟和鸣畅我情；
红杏枝头春意闹，登科一举状元名。",✅ 名利双收，谨防得意忘形。,"王安石少年登科，变法争议（《宋史》）。","事业：短期晋升，长期慎行
姻缘：宜婚嫁，忌攀比
健康：注意心火，多饮菊花茶",初一至十五,正东（木位）
6,圣笑圣·刘福妻劝夫,"叶落根深霜不怕，枯木逢春再发芽；
虽是中间多进退，钱财到底属我家。",➖ 波折终成，耐心积累，忌弃初心。,"民间故事“刘福妻劝夫守业”，枯木逢春喻信念。","事业：先难后易，忌半途而废
姻缘：伴侣为贵人，多倾听
健康：防关节疼痛，适度运动",卯时,西南（坤位）
7,圣笑笑·张飞义释严颜,"梅花冻雪抖芳菲，江上渔翁把钓飞；
夜静水寒鱼不饵，满船空载月明归。",➖ 付出无果，转换思路，静待时机。,"张飞化敌为友，刚柔并济（《三国演义》）。","事业：宜合作，忌单干
姻缘：勿强求，顺其自然
健康：宜静心养神，忌熬夜",子时,西北（乾位）
8,圣笑阴·刘秀兴汉,"皇天降下紫微星，除妖灭怪得安宁；
二十八宿扶圣主，汉王家国再重兴。",✅ 绝境重生，二次机遇，把握可成。,"刘秀昆阳之战以少胜多，团队借势（《后汉书》）。","事业：暗中布局，忌高调宣扬
姻缘：旧缘复燃，忌翻旧账
健康：防心火过旺，多食莲子",丑时,正南（离位）
9,圣阴圣·舜历山耕田,"富贵总是天注定，五谷丰登胜上年；
共享太平歌舜日，含哺鼓腹乐尧天。",✅ 天时地利，丰收在望，忌逆势强求。,"舜耕历山德化百姓，尧天舜日盛世（《史记·五帝本纪》）。","事业：稳中求进，忌投机
姻缘：宜婚嫁，适配务实型伴侣
健康：多晒太阳，补阳气",白天,西南（坤位）
10,圣阴笑·吕蒙正破窑齐志,"鲤鱼志气本英雄，屈守池中运未通；
一旦峥嵘头角现，风云际会化成龙。",➖ 潜龙勿用，厚积薄发，终成大器。,"吕蒙正寒窑苦读终成宰相（《宋史》）。","事业：蛰伏期，宜学习进修
姻缘：晚婚为吉，忌早定
健康：防湿气，多喝红豆薏米汤",风雨交加时,东方（震位）
11,圣阴阴·韩信逼钟离眛自刎,"白虎出山欲害人，鱼入罗网难脱身；
害人之心则害己，飞虫扑火自伤生。",❌ 恶念招灾，守正避嫌，莫涉是非。,"韩信权谋反噬，白虎凶星喻小人（《史记》）。","事业：避纠纷，守底线
姻缘：防伴侣背叛，忌猜疑
健康：防外伤，远离利器",酉时,正西（兑位，佩金饰）
12,笑圣圣·太公遇文王,"太公钓鱼八十秋，除商灭纣再兴周；
民安国定太平日，江山万里任君游。",✅ 大器晚成，机缘将至，厚积薄发。,"姜太公八十遇文王，钓鱼喻主动吸引机遇（《封神演义》）。","事业：长期规划，忌急躁
姻缘：晚婚幸福，忌将就
健康：修身养性，打坐冥想",潮汐涨时,西北（渭水位）
13,笑圣笑·夷齐耻食周粟,"鱼在小涧生长难，深处安身浅水寒；
清冷香中抱膝吟，夷齐饿死首阳山。",❌ 固执招损，变通求生，莫困清高。,"伯夷叔齐饿死首阳山，鱼困浅水（《史记》）。","事业：忌理想主义，务实为吉
姻缘：防理念不合，沟通为先
健康：防营养不良，均衡饮食",巳时,近水之地
14,笑圣阴·释迦、老君、真宗、梁纥,"释迦幻化妙应身，老君抛送玉麒麟；
真宗求嗣生太子，梁纥祷丘出圣人。",✅ 诚心感天，善念得报，非功利可成。,"佛道儒典故融合：释迦显化、老子赠麒麟、宋真宗求子（《宋史》）。","事业：以德服人，忌算计
姻缘：求子得吉，夫妻共修善业
健康：心态平和，百病不侵",佛诞、法会日,寺庙/道观（需GPS）
15,笑笑圣·观音渡众生,"日上东方如火轮，十分光彩照乾坤；
二十四气尽清洁，一年四季太平春。",✅ 光明普照，否极泰来，万事皆吉。,"观音救苦救难，二十四气喻天时人和（《法华经》）。","事业：逢凶化吉，利公益行业
姻缘：适配善良包容型伴侣
健康：多晒太阳，养心护肝",日出时分,正南（离位）
16,笑笑阴·朱寿昌弃官寻母,"一盏孤灯对面休，富贵钱财水上舟；
任他险处不见险，主人有福再添油。",➖ 舍利取义，福报后至，坚守善念。,"朱寿昌辞官寻母孝感动天（《宋史·孝义传》）。","事业：短期亏损，长期得名望
姻缘：忌功利婚姻，重情义者吉
健康：防失眠，睡前泡脚安神",黄昏,正北（水位）
17,笑阴圣·桃园结义,"三人各姓同一心，桃园结义情意深；
山中石头皆是宝，运来都能变成金。",✅ 同心协力，点石成金，团队至上。,"刘关张结义忠义凝聚（《三国演义》）。","事业：利合伙创业，忌单打独斗
姻缘：伴侣即战友，共克时艰
健康：登山强筋骨，忌久坐",午时,东方（震位）
18,笑阴笑·程咬金遇赦,"囚人出禁上酒楼，畅饮宽杯解闷头；
劝君慎忍一时气，非干己事且相饶。",➖ 以退为进，避祸得福，闲事莫管。,"程咬金因赦免成唐将（《旧唐书》）。","事业：避冲突，守中立
姻缘：忌翻旧账，冷处理矛盾
健康：防酗酒伤肝，适度为佳",申时,西南（坤位）
19,笑阴阴·梅妃的故事,"若要求财未得时，只恐鬼贼相侵害；
关门闭户家中坐，灾祸偏从天上来。",❌ 小人暗算，无妄之灾，深居简出。,"梅妃遭杨贵妃陷害（《梅妃传》）。","事业：防同事构陷，守口如瓶
姻缘：忌三角关系，远离暧昧
健康：防意外血光，检查门窗",寅时,避开东南
